x,y,labels
1.614579948,-0.100419761,0
1.019887825,0.312567087,0
1.493948629,0.417392492,0
0.985613618,0.118067755,0
0.684116397,0.219824894,0
1.395998643,0.741687758,0
1.296065928,-0.059026175,0
1.021924068,-0.076873311,0
1.506550828,0.550520813,0
1.41663222,-0.087898699,0
0.714021142,-0.162306933,0
1.428570758,0.784181276,0
1.295449638,0.393429692,0
1.271712107,0.090174717,0
0.861656867,0.524083044,0
1.201792928,0.341812811,0
1.233271525,0.415007474,0
1.342343515,0.028102548,0
1.56116798,0.151440451,0
1.498484314,0.438732946,0
1.482023791,0.478077272,0
1.233437335,0.302322619,0
1.116102531,-0.150803351,0
1.296176747,0.029191328,0
1.429886028,0.157443975,0
1.188081372,0.165183849,0
0.807632047,0.22597164,0
1.124292071,-0.083513519,0
0.90001317,0.450134475,0
1.348963227,-0.249390635,0
1.326365291,0.082307543,0
0.950950971,-0.055478728,0
1.039375409,0.021896667,0
1.176792725,0.587487678,0
1.00831155,0.007690463,0
0.953263181,0.504230743,0
1.345752406,0.028364455,0
1.425161517,0.173180924,0
1.2993659,0.023182635,0
1.320145818,0.281210296,0
0.996924848,0.387652916,0
0.932745266,0.361825081,0
1.126373429,0.171527061,0
0.935827179,0.748212421,0
1.25418929,-0.135327811,0
1.146042539,0.268970836,0
0.806260263,0.408658565,0
1.241370356,0.131992432,0
1.22508549,-0.012296432,0
1.393504094,-0.19189449,0
1.214300825,0.625538317,0
1.621063403,0.12133858,0
1.456389662,0.476602485,0
1.315253309,0.084262745,0
1.11452649,0.047835228,0
1.404046804,-0.146195747,0
1.366669553,-0.084746391,0
1.207460529,0.178012637,0
1.587260212,0.385453431,0
1.144024073,0.296745541,0
1.077760426,0.249221675,0
0.97899707,0.524362217,0
0.689910142,0.249286622,0
1.158650589,0.073824288,0
1.393338358,0.156839428,0
1.659953267,0.338259852,0
1.097549902,0.598351519,0
1.175833483,0.250267533,0
1.115135135,0.156360642,0
1.086021332,0.304634105,0
1.266093951,0.064289648,0
0.744961486,0.198523151,0
1.156980758,-0.192688833,0
1.367003278,0.199522687,0
1.306930141,0.000720874,0
1.245085111,-0.067630466,0
1.575064477,0.070823798,0
1.589403095,0.191960988,0
0.851030391,-0.192195716,0
0.904903364,0.176896078,0
1.216143441,0.284718355,0
1.396460389,-0.055335499,0
0.917511152,0.17288044,0
0.817690817,0.65598932,0
1.150836248,-0.276162987,0
1.720561529,0.402532672,0
1.011258522,-0.112011726,0
0.650540291,-0.056740184,0
1.567058785,0.292717873,0
1.103929088,-0.499642664,0
1.253863262,-0.011907001,0
1.379840702,-0.378662152,0
1.335698234,-0.062368765,0
1.328999868,-0.26069517,0
0.672172604,0.231172008,0
1.12035575,-0.137801431,0
1.494431523,0.397675151,0
1.206925511,0.183472494,0
1.17326335,-0.110313616,0
1.073794008,0.326208806,0
1.132651261,-0.024863852,0
1.106576379,0.0254345,0
0.784943211,0.421627188,0
1.093131546,0.487039045,0
1.138007291,0.299259515,0
1.462267919,0.429129495,0
0.90952564,0.105833403,0
1.542829653,0.218804303,0
1.206870713,0.385722867,0
1.201154219,0.370458146,0
1.082237876,0.146868786,0
0.61695958,0.323300913,0
1.357482627,-0.017570951,0
1.637777148,0.00897701,0
1.140617091,0.174955497,0
0.896685497,0.520070555,0
1.222883706,0.298594764,0
0.827626118,0.311549019,0
1.393395191,-0.167412829,0
1.188158452,-0.277464148,0
0.89614049,0.348704123,0
1.035890885,0.593649777,0
1.009846658,-0.086959533,0
1.255325538,0.194953226,0
1.376520762,0.17738451,0
1.330978019,0.156786399,0
1.483762559,-0.241057696,0
1.236839782,0.372630464,0
0.836728524,0.360445774,0
1.314476098,0.316943135,0
1.315211002,0.129941609,0
1.052349861,0.145436478,0
1.352207261,0.209577346,0
0.986736411,-0.366378803,0
1.56663597,-0.018986022,0
1.224829778,-0.17012868,0
1.124350454,0.679345855,0
1.152252856,0.029128279,0
1.109102426,0.135470228,0
1.08992432,0.339979259,0
1.689155975,0.33359019,0
1.146360226,-0.111128294,0
1.13193156,0.125986965,0
1.122553245,0.179807896,0
1.542437238,0.571581069,0
0.965797924,0.263712802,0
1.29756013,0.109039178,0
1.08058584,0.208863679,0
0.943298881,0.478029051,0
1.081226984,-0.191222315,0
1.178421049,0.485584463,0
1.3054463,0.219231202,0
1.043765268,-0.382085427,0
0.604263421,0.258428603,0
1.036495128,-0.134527327,0
1.088310626,0.425624194,0
0.920600428,0.483737692,0
1.233224608,-0.327340606,0
1.450451521,0.480859518,0
1.044814763,-0.032559414,0
1.722818255,-0.060226034,0
1.040533184,0.268640657,0
1.428900818,0.426456476,0
1.31014475,0.238289669,0
1.262346277,0.317725235,0
1.030916392,-0.135980704,0
1.41824465,0.135022901,0
1.291427296,0.184231146,0
1.165907808,0.444978481,0
1.396105333,0.225864203,0
1.073319457,0.585130026,0
0.38521309,0.382774765,0
1.451091356,0.75641424,0
1.54260281,0.140147123,0
1.160541285,0.426564579,0
1.506671051,0.208893166,0
1.21530615,-0.208281068,0
1.321614794,0.172151362,0
0.892966717,-0.076283995,0
1.253488635,0.449889031,0
1.234453168,-0.220124957,0
0.989931606,-0.045576275,0
1.200842233,0.042822587,0
1.263470303,-0.236248156,0
0.998260074,0.430010243,0
1.435535471,0.471372886,0
0.991764973,0.157426948,0
0.96990405,0.112345733,0
0.929065871,0.236823846,0
1.23459339,-0.032228292,0
1.216329474,0.18768334,0
1.433415813,0.287312243,0
1.429702807,0.501673834,0
1.572126302,0.494498534,0
1.063208151,0.483605093,0
1.412309929,0.15984441,0
1.065978428,0.302344775,0
1.510045354,0.206598175,0
1.033745401,0.107059683,0
0.919093396,0.453462392,0
0.813088467,0.239937783,0
1.216398342,0.235744531,0
1.102430389,0.328397649,0
0.874720368,0.142458061,0
1.241392605,-0.029260773,0
1.110856436,0.27945131,0
